prefix	edit_count	actor_count	bytes_added_30D	bytes_removed_30D	pages_count	avg_edits_3M	avg_editors_3M
Wp/bgc	747	17	2373.0	0.0	596	4	2
Wp/fvr	172	8	0.0	0.0	59	5	2
Wy/ta	817	33	0.0	0.0	288	2	2
Wb/cdo	228	8	0.0	0.0	78	23	2
Wq/ne	3302	29	15825.0	-49.0	516	4	2
Wq/tn	122	10	86.0	0.0	46	4	2
Wt/wym	1016	8	1131.0	-44236.0	544	383	2
Wp/ttt	322	24	1144.0	0.0	108	15	2
Wq/chy	17	8	0.0	0.0	3	4	2
Wn/ms	2950	57	620035.0	-8775.0	753	179	2
Wt/ba	4987	47	0.0	-8.0	1537	2	2
Wp/oka	265	13	0.0	0.0	77	2	2
Wp/brh	4582	68	0.0	0.0	1234	3	2
Wp/cia	13	2	0.0	0.0	8	13	2
Wb/as	705	35	6.0	0.0	198	5	2
Wp/wal	1257	15	4123.0	-79.0	621	7	2
Wp/ikt	70	2	0.0	0.0	50	70	2
Wp/yua	9277	194	39.0	-23.0	1277	5	2
Wq/si	1569	15	6167.0	-211.0	439	104	2
Wp/ain	1405	71	153.0	0.0	181	30	2
Wp/krl	9252	171	0.0	0.0	2023	2	2
Wp/lou	190	4	0.0	0.0	60	27	2
Wp/bkm	7	2	0.0	0.0	1	7	2
Wt/sat	10681	41	2114.0	0.0	2136	2	2
Wy/az	776	32	0.0	0.0	134	2	2
Wp/sla	46	7	47.0	0.0	1	2	2
Wp/cop	9712	96	17555.0	-2137.0	1707	102	2
Wy/hu	775	35	0.0	-429.0	238	6	2
Wp/jpr	3	2	0.0	0.0	1	3	2
Wq/pnb	6493	54	0.0	0.0	612	3	2
Wt/knc	191	4	332.0	0.0	43	63	2
Wp/pau	228	18	0.0	0.0	47	11	2
Wp/bgn	19483	152	0.0	0.0	7802	5	2
Wy/th	2528	59	43341.0	-13143.0	328	11	2
Wb/ckb	16	9	0.0	0.0	4	6	2
Wp/xkv	132	11	43.0	0.0	54	11	2
Wp/kiu	5252	93	0.0	0.0	1102	4	2
Wp/kzp	176	8	0.0	0.0	41	10	2
Wp/mak	1547	39	24.0	-55.0	410	3	2
Wp/aoa	7	2	0.0	0.0	2	7	2
Wp/tun	203	12	191.0	-74.0	29	28	2
Wb/bcl	176	10	33716.0	-8989.0	68	16	2
Wp/wls	3606	44	86.0	-129.0	784	6	2
Wq/ckb	260	14	0.0	0.0	62	5	2
Wn/cdo	6697	40	0.0	0.0	1065	6	2
Wt/ht	1705	37	0.0	0.0	557	46	2
Wp/bcc	5115	94	86.0	0.0	1932	10	2
Wt/mzn	129	17	0.0	0.0	69	2	2
Wp/qug	8455	70	89.0	0.0	1325	8	2
Wt/tyz	23	2	0.0	0.0	11	12	2
Wy/ca	1859	74	0.0	0.0	134	4	2
Wy/ko	3855	146	983.0	-13.0	476	11	2
Wy/si	942	11	37318.0	-156.0	294	59	2
Wp/isk	19	2	4069.0	-19.0	13	19	2
Wb/mni	491	8	18720.0	-2607.0	250	37	2
Wb/syc	18	5	0.0	0.0	3	2	2
Wp/kum	6707	81	202.0	0.0	838	6	2
Wp/na	53587	1074	84.0	-102.0	2292	4	2
Wt/gil	61	2	28.0	-31.0	44	61	2
Wp/ase	1582	36	0.0	0.0	361	2	2
Wp/cho	980	50	113.0	0.0	126	24	2
Wb/ary	5	2	0.0	0.0	2	5	2
Wy/yue	391	40	0.0	0.0	134	5	2
Wn/si	1175	28	20089.0	-36.0	372	94	2
Wp/mxt	740	35	0.0	-18.0	119	2	2
Wp/arq	26892	725	42.0	0.0	1329	4	2
Wt/lrc	8	2	0.0	0.0	6	8	2
Wp/sli	10570	131	7559.0	-1.0	1558	25	2
Wp/cpx	5893	56	0.0	-63.0	2658	3	2
Wp/gju	54	10	1506.0	-47.0	9	6	2
Wb/ht	25	6	0.0	0.0	10	3	2
Wp/yah	38	12	121.0	-128.0	20	2	2
Wp/kpy	29	7	0.0	0.0	7	3	2
Wn/rue	6	2	162.0	-26.0	2	6	2
Wp/aa	287	72	5705.0	0.0	49	40	2
Wp/sip	6	3	74.0	-5.0	2	4	2
Wy/gu	61	10	0.0	0.0	19	5	2
Wy/ml	1941	64	0.0	0.0	257	11	2
Wp/tzm	5186	115	156.0	0.0	832	2	2
Wb/rue	5	2	480.0	-23.0	2	5	2
Wp/kjh	12595	116	49.0	0.0	2805	4	2
Wq/grc	409	19	0.0	0.0	56	48	2
Wp/lar	3	2	207.0	0.0	2	3	2
Wq/or	1804	42	0.0	0.0	266	4	2
Wn/vi	4541	126	7162.0	0.0	1124	4	2
Wp/bto	5179	63	2287.0	0.0	1898	3	2
Wt/zea	9581	53	31847.0	-146.0	3249	37	2
Wy/da	2954	64	0.0	0.0	472	2	2
Wy/la	577	21	52.0	0.0	95	2	2
Wp/wsg	1639	13	38660.0	-624.0	181	229	2
Wp/kio	22	8	0.0	0.0	6	1	1
Wb/yi	101	8	0.0	0.0	15	6	1
Wq/dtp	7	3	0.0	0.0	3	1	1
Wn/ee	4	2	0.0	0.0	1	1	1
Wq/nap	49	8	0.0	0.0	17	1	1
Wp/lzz	2442	59	0.0	0.0	798	1	1
Wn/nap	87	9	0.0	0.0	25	4	1
Wq/tk	4	3	0.0	0.0	3	2	1
Wp/moh	227	17	0.0	0.0	45	1	1
Wn/tr	121	14	44.0	0.0	52	1	1
Wt/ilo	29	7	0.0	-4954.0	9	1	1
Wp/ood	162	13	0.0	0.0	21	1	1
Wp/bci	200	13	0.0	0.0	28	1	1
Wt/nap	812	25	0.0	0.0	472	7	1
Wp/btd	86	23	0.0	0.0	18	1	1
Wt/wuu	71267	36	7114.0	0.0	34414	59	1
Wp/cjs	104	27	0.0	0.0	35	1	1
Wp/tkr	39	17	0.0	0.0	9	1	1
Wp/fkv	2864	52	0.0	0.0	643	3	1
Wy/sk	1464	33	469.0	0.0	270	11	1
Wp/tsg	633	28	0.0	0.0	157	1	1
Wp/gyn	97	7	0.0	0.0	15	1	1
Wb/ban	8	4	0.0	0.0	6	1	1
Wp/wbl	120	21	21.0	0.0	53	1	1
Wp/ist	117	19	7.0	0.0	26	1	1
Wp/yur	19	5	0.0	0.0	6	1	1
Wq/bjn	2159	33	0.0	0.0	703	1	1
Wn/bjn	14	5	0.0	0.0	9	1	1
Wn/mni	140	9	0.0	0.0	40	1	1
Wq/sva	4	2	0.0	0.0	3	1	1
Wp/mnp	1037	34	0.0	-3.0	368	2	1
Wn/tg	803	18	0.0	0.0	419	1	1
Wt/azb	5184	26	0.0	0.0	3886	1	1
Wp/nd	373	40	43.0	0.0	84	3	1
Wp/akk	36	7	0.0	0.0	7	1	1
Wp/bbc	28	13	0.0	0.0	3	2	1
Wt/mnc	22456	25	0.0	0.0	7695	8	1
Wp/pst	17	7	0.0	0.0	1	1	1
Wp/bph	10	5	0.0	0.0	4	1	1
Wt/tay	19	5	0.0	0.0	12	5	1
Wp/chp	28	9	0.0	0.0	7	1	1
Wy/bg	492	26	86.0	0.0	127	2	1
Wy/kjh	3	1	0.0	0.0	3	3	1
Wp/tig	330	6	0.0	0.0	79	4	1
Wp/ett	10	5	0.0	0.0	1	1	1
Wp/gvr	20	8	21.0	0.0	6	1	1
Wb/arz	38	8	0.0	0.0	5	1	1
Wp/vmw	3098	104	0.0	-1146.0	1011	10	1
Wp/ii	2799	75	0.0	-17.0	911	3	1
Wb/mh	1	1	0.0	-500.0	1	1	1
Wq/av	38	10	0.0	0.0	12	2	1
Wp/ksk	26	9	0.0	0.0	7	1	1
Wn/bcc	39	10	0.0	0.0	18	1	1
Wq/mk	22	4	0.0	0.0	5	1	1
Wp/ltc	8	6	0.0	0.0	1	1	1
Wn/km	3	2	0.0	0.0	1	1	1
Wp/mjy	73	5	0.0	0.0	18	1	1
Wn/skr	222	20	352.0	0.0	76	1	1
Wt/arn	338	14	3954.0	-904.0	51	27	1
Wp/myr	9	3	0.0	0.0	3	3	1
Wp/aii	61	10	0.0	0.0	12	1	1
Wt/egl	701	15	0.0	0.0	341	1	1
Wp/oac	23	8	0.0	0.0	8	1	1
Wp/phr	246	18	985.0	-20.0	63	59	1
Wt/shi	1567	22	451.0	0.0	507	1	1
Wp/chb	483	9	327.0	0.0	69	34	1
Wy/ba	416	15	0.0	0.0	54	1	1
Wp/slr	1340	79	86.0	0.0	418	2	1
Wp/crd	61	11	0.0	0.0	12	1	1
Wp/tab	99	32	0.0	0.0	16	1	1
Wp/ess	223	38	0.0	0.0	76	1	1
Wy/mr	808	23	0.0	-111.0	136	2	1
Wb/agx	1	1	0.0	0.0	1	1	1
Wp/unm	105	13	0.0	0.0	28	1	1
Wb/khw	17	7	0.0	0.0	10	4	1
Wp/yai	902	48	8294.0	0.0	270	19	1
Wn/arz	2	2	0.0	0.0	2	1	1
Wq/kge	54	3	0.0	0.0	20	7	1
Wp/lkt	1466	67	0.0	0.0	321	1	1
Wq/rw	18	6	0.0	0.0	6	1	1
Wp/mjd	103	11	0.0	0.0	18	1	1
Wn/sah	135	8	0.0	0.0	31	1	1
Wt/aer	72	1	0.0	0.0	30	36	1
Wp/mvf	643	43	26846.0	0.0	106	2	1
Wp/aae	1361	14	251.0	-16.0	369	12	1
Wp/nxq	4	2	0.0	0.0	2	1	1
Wp/pcc	34	13	998.0	-117.0	8	3	1
Wp/bhh	109	12	22635.0	-17.0	32	11	1
Wt/rut	2	1	0.0	0.0	1	2	1
Wp/rmc	7041	35	0.0	0.0	1718	2	1
Wp/bzj	746	18	0.0	0.0	242	8	1
Wy/as	13	5	0.0	0.0	4	2	1
Wp/sjd	1578	51	24993.0	-7.0	305	4	1
Wp/elm	26	7	0.0	0.0	8	1	1
Wy/mn	75	8	0.0	0.0	16	5	1
Wp/gdo	218	19	0.0	0.0	72	7	1
Wy/ur	809	25	0.0	0.0	284	2	1
Wp/udi	51	23	0.0	0.0	8	1	1
Wp/xpq	187	11	0.0	0.0	38	1	1
Wp/jpn	82	21	0.0	0.0	2	1	1
Wb/sat	30	6	0.0	0.0	12	1	1
Wq/an	76	13	0.0	0.0	36	1	1
Wp/kjj	618	26	0.0	0.0	110	1	1
Wn/am	21	7	0.0	0.0	3	2	1
Wp/lif	141	21	25.0	0.0	20	1	1
Wn/hnd	14	5	0.0	0.0	4	1	1
Wn/or	92	8	0.0	0.0	31	5	1
Wq/xmf	89	6	43.0	0.0	36	3	1
Wn/wuu	60	9	0.0	0.0	18	1	1
Wp/apj	30	8	0.0	0.0	7	1	1
Wt/ki	67	7	0.0	0.0	42	1	1
Wp/pal	8	4	0.0	0.0	1	1	1
Wt/rad	14	1	0.0	0.0	10	14	1
Wp/bts	8	4	0.0	0.0	3	1	1
Wt/zgh	1033	16	0.0	0.0	149	4	1
Wp/sgy	6	1	402.0	0.0	5	6	1
Wp/cku	45	9	0.0	0.0	11	1	1
Wp/sto	24	6	0.0	0.0	7	1	1
Wy/lt	90	13	0.0	0.0	22	9	1
Wp/tvx	6050	12	0.0	-78.0	1403	1	1
Wp/hil	8217	77	44.0	0.0	2143	1	1
Wb/or	308	15	0.0	0.0	6	2	1
Wp/zza	28	11	0.0	0.0	1	1	1
Wp/kip	1420	18	21.0	0.0	158	1	1
Wb/yo	7	4	0.0	0.0	5	1	1
Wq/fat	1	1	123.0	0.0	1	1	1
Wp/kzg	14	8	0.0	0.0	5	1	1
Wn/fur	6	3	0.0	0.0	3	3	1
Wn/ne	853	26	0.0	0.0	194	2	1
Wp/mor	1	1	0.0	0.0	1	1	1
Wn/ur	8886	32	0.0	-36.0	4007	1	1
Wp/niv	59	24	0.0	0.0	8	1	1
Wp/osi	929	79	0.0	0.0	269	1	1
Wt/ota	31	12	0.0	0.0	10	5	1
Wp/qxq	171	27	0.0	0.0	52	1	1
Wp/btj	3	2	0.0	0.0	1	1	1
Wp/sel	519	30	0.0	0.0	140	17	1
Wp/cjy	303	22	0.0	0.0	150	2	1
Wp/ssf	3118	57	0.0	-25.0	1450	1	1
Wy/ku	43	11	0.0	0.0	9	1	1
Wp/tli	119	7	0.0	0.0	55	2	1
Wp/fla	311	18	0.0	0.0	38	1	1
Wy/sq	85	13	0.0	0.0	19	27	1
Wp/haa	6	2	2188.0	0.0	5	1	1
Wb/bcc	14	6	0.0	0.0	5	1	1
Wp/wep	32	10	0.0	0.0	14	2	1
Wp/zai	205	24	0.0	0.0	43	1	1
Wb/uz	35	16	0.0	0.0	14	1	1
Wp/kut	214	7	0.0	0.0	52	1	1
Wq/mt	11	3	0.0	0.0	11	2	1
Wp/lus	3669	81	899.0	0.0	755	1	1
Wp/mns	694	32	0.0	0.0	130	1	1
Wn/th	1206	46	0.0	0.0	450	11	1
Wp/nia	10	6	0.0	0.0	1	2	1
Wp/akz	13852	50	0.0	0.0	2644	1	1
Wt/haw	1206	14	0.0	0.0	470	1	1
Wp/bca	1449	7	0.0	0.0	900	1	1
Wt/mus	65	2	7226.0	-24.0	60	56	1
Wp/pzh	2808	21	0.0	0.0	563	2	1
Wp/saz	51	19	21.0	0.0	15	1	1
Wy/bxr	4	2	0.0	0.0	2	2	1
Wp/srb	15	6	21.0	0.0	7	1	1
Wp/ctc	120	15	0.0	0.0	23	1	1
Wy/kk	57	8	4.0	0.0	19	1	1
Wp/tin	33	20	0.0	0.0	9	1	1
Wp/eve	83	17	0.0	0.0	8	1	1
Wy/ryu	308	15	0.0	0.0	110	3	1
Wp/tmz	8	3	0.0	0.0	1	1	1
Wp/gwc	15	8	0.0	0.0	5	1	1
Wb/mnc	114	7	0.0	0.0	38	9	1
Wq/azb	686	17	0.0	0.0	294	6	1
Wp/ksw	1239	28	0.0	0.0	364	2	1
Wn/be	806	20	0.0	0.0	393	7	1
Wq/mnc	65	6	0.0	0.0	15	1	1
Wn/ky	29	10	0.0	0.0	7	3	1
Wp/mkn	534	18	0.0	0.0	180	1	1
Wn/sva	2	2	0.0	0.0	1	1	1
Wp/mzs	216	12	0.0	0.0	87	1	1
Wt/gcf	190	10	0.0	0.0	90	3	1
Wp/oj	14	5	0.0	0.0	2	1	1
Wp/asb	136	10	0.0	0.0	27	1	1
Wt/mag	38	2	0.0	0.0	18	12	1
Wp/bno	12	4	0.0	0.0	8	4	1
Wt/sn	2786	7	56353.0	-1306.0	1528	69	1
Wp/rut	101	25	0.0	0.0	14	1	1
Wy/bcl	42	8	0.0	0.0	19	5	1
Wp/smj	266	19	0.0	-2.0	66	2	1
Wp/crg	91	12	0.0	0.0	22	1	1
Wy/kaa	1	1	0.0	-37.0	1	1	1
Wp/taj	287	20	21.0	0.0	100	1	1
Wp/est	8	4	0.0	0.0	1	2	1
Wy/ms	276	21	0.0	0.0	88	1	1
Wb/am	12	5	0.0	0.0	5	4	1
Wy/yi	16	4	0.0	0.0	5	2	1
Wp/vai	180	16	12726.0	-92.0	70	6	1
Wp/ibb	971	29	0.0	0.0	203	2	1
Wb/lad	728	17	21.0	0.0	353	7	1
Wp/yaq	50	10	0.0	0.0	10	1	1
Wb/snd	2	1	0.0	0.0	2	2	1
Wn/az	7436	82	47.0	0.0	2174	8	1
Wq/khw	42	8	0.0	0.0	16	6	1
Wq/scn	11	5	0.0	0.0	4	1	1
Wp/mjw	13	3	21.0	0.0	4	1	1
Wt/alu	1	1	0.0	0.0	1	1	1
Wp/mwv	139	21	0.0	0.0	27	1	1
Wt/den	412	8	0.0	0.0	172	1	1
Wp/nys	13317	132	3.0	-3.0	797	14	1
Wp/arp	96	13	0.0	0.0	26	1	1
Wt/lfn	546	12	0.0	0.0	130	1	1
Wp/pdt	1791	61	0.0	0.0	322	4	1
Wp/rmq	40	5	5915.0	-97.0	8	24	1
Wp/sxu	177	33	0.0	0.0	31	3	1
Wp/enf	631	26	0.0	0.0	195	1	1
Wy/mnc	7	4	0.0	0.0	1	1	1
Wp/gil	337	24	23.0	0.0	61	1	1
Wy/uz	188	18	0.0	0.0	60	1	1
Wp/ulc	42	9	0.0	0.0	6	1	1
Wp/hrx	2723	36	0.0	0.0	391	3	1
Wb/ha	40	19	0.0	0.0	13	1	1
Wp/xsr	9	3	21.0	0.0	3	1	1
Wb/scn	4	3	0.0	0.0	2	2	1
Wq/ary	2	2	0.0	0.0	2	1	1
Wn/ang	145	18	0.0	0.0	36	1	1
Wq/jv	265	15	0.0	0.0	171	1	1
Wp/liv	10055	117	0.0	0.0	1092	1	1
Wn/hr	268	17	0.0	0.0	78	1	1
Wp/mic	1565	32	0.0	0.0	295	1	1
Wn/ppl	1926	29	0.0	0.0	226	2	1
Wq/yue	1266	40	11.0	0.0	427	5	1
Wp/mui	1651	41	15.0	-4.0	244	2	1
Wn/yue	641	36	0.0	0.0	180	1	1
Wt/chn	6	3	0.0	0.0	2	1	1
Wp/apw	45	7	0.0	0.0	8	1	1
Wt/rgn	38	8	0.0	0.0	15	1	1
Wp/btx	39	18	0.0	0.0	11	1	1
Wy/af	139	6	0.0	0.0	80	1	1
Wp/shh	368	11	0.0	0.0	75	1	1
Wp/clw	72	29	0.0	0.0	12	1	1
Wy/fit	8	3	0.0	0.0	3	1	1
Wp/str	27	7	0.0	0.0	7	1	1
Wp/efi	2878	21	0.0	0.0	158	2	1
Wy/lv	1375	29	0.0	0.0	319	1	1
Wp/gay	76	21	0.0	0.0	12	1	1
Wp/tyz	197	5	67.0	-64.0	43	10	1
Wp/hne	60	16	21.0	0.0	25	1	1
Wp/jdt	116	26	0.0	0.0	37	5	1
Wb/pnb	23	9	0.0	0.0	9	1	1
Wq/aa	4	1	0.0	0.0	3	4	1
Wn/ace	45	4	0.0	0.0	10	1	1
Wn/gv	5	2	0.0	0.0	1	4	1
Wq/olo	1	1	0.0	-24.0	1	1	1
Wn/nia	232	8	0.0	0.0	70	7	1
Wq/tt	2224	38	3171.0	-83.0	342	6	1
Wn/uz	100	11	0.0	0.0	44	12	1
Wt/cbk	330	7	0.0	0.0	109	2	1
Wp/njo	165	19	21.0	0.0	14	1	1
Wt/kab	1208	36	3.0	-3.0	461	3	1
Wp/otk	11	5	0.0	0.0	1	1	1
Wp/ber	20	10	0.0	0.0	1	5	1
Wt/pms	9608	32	665.0	0.0	2755	3	1
Wp/rad	137	2	265.0	-17.0	26	22	1
Wt/xkv	4	2	0.0	0.0	1	3	1
Wp/ses	33	7	0.0	0.0	17	1	1
Wp/ckm	1	1	0.0	0.0	1	1	1
Wy/cy	131	14	0.0	0.0	25	1	1
Wp/std	1	1	0.0	0.0	1	1	1
Wp/dje	3	2	0.0	0.0	2	2	1
Wy/ky	55	8	0.0	0.0	12	6	1
Wp/tmh	6	4	0.0	0.0	1	1	1
Wp/frc	716	54	0.0	0.0	163	1	1
Wy/su	86	8	0.0	0.0	35	3	1
Wp/hac	384	28	0.0	0.0	121	8	1
Wp/izh	329	43	4.0	-2.0	19	5	1
Wb/olo	1	1	0.0	-24.0	1	1	1
Wp/zmi	22	4	0.0	0.0	5	1	1
Wp/kib	1	1	0.0	0.0	1	1	1
Wb/wuu	121	18	0.0	0.0	31	2	1
Wp/kyh	37	6	0.0	0.0	19	1	1
Wq/my	337	12	0.0	0.0	114	2	1
Wp/lut	62	4	0.0	0.0	17	1	1
Wn/myv	34	5	0.0	0.0	13	4	1
Wp/moe	224	13	0.0	0.0	46	1	1
Wn/tl	470	29	0.0	0.0	94	1	1
Wt/ban	2720	52	1090.0	0.0	1003	10	1
Wp/niq	387	9	0.0	0.0	127	3	1
Wp/ale	419	19	0.0	0.0	75	1	1
Wp/oma	65	7	0.0	0.0	17	1	1
Wp/brx	1705	42	0.0	0.0	613	1	1
Wp/cic	57	9	0.0	0.0	17	1	1
Wp/srh	34	6	0.0	0.0	13	7	1
Wp/czh	17	7	250.0	-6620.0	9	2	1
Wp/tkl	395	35	0.0	0.0	126	1	1
Wp/fit	10866	85	0.0	0.0	1840	2	1
Wp/trw	43	8	21.0	0.0	14	1	1
Wp/gwi	97	6	0.0	0.0	21	1	1
Wb/bal	20	8	0.0	0.0	5	2	1
Wp/was	74	14	0.0	0.0	17	1	1
Wp/yuc	16	7	0.0	0.0	5	1	1
Wq/ba	862	22	0.0	0.0	38	3	1
Wn/bgn	12	5	0.0	0.0	5	2	1
Wq/mni	48	8	0.0	0.0	10	5	1
Wp/lue	1	1	90.0	0.0	1	1	1
Wn/lv	10	3	0.0	0.0	6	3	1
Wq/sn	132	3	8610.0	-36.0	50	14	1
Wt/av	72	15	0.0	0.0	24	1	1
Wp/akb	43	16	0.0	0.0	7	1	1
Wt/mh	1573	7	312.0	0.0	672	13	1
Wp/pse	121	36	45.0	0.0	53	1	1
Wy/be	399	30	0.0	0.0	95	2	1
Wp/snd	12	5	0.0	0.0	1	1	1
Wp/crx	1	1	0.0	0.0	1	1	1
Wy/ki	8	3	0.0	0.0	3	6	1
Wp/esu	1486	34	0.0	0.0	313	1	1
Wy/ne	215	18	569.0	0.0	42	2	1
Wb/mai	7	3	0.0	0.0	1	4	1
Wp/yrk	850	67	26.0	0.0	138	1	1
Wp/kfb	6	3	0.0	0.0	2	3	1
Wq/ast	257	26	0.0	0.0	42	5	1
Wp/kru	16	3	21.0	0.0	6	1	1
Wn/azb	323	16	47.0	0.0	104	4	1
Wq/knc	17	4	0.0	0.0	1	2	1
Wp/lrc	227	21	0.0	0.0	89	1	1
Wn/kaa	275	7	9.0	0.0	113	2	1
Wq/sd	30	9	0.0	0.0	9	2	1
Wt/aqc	1	1	0.0	0.0	1	1	1
Wp/agx	53	26	0.0	0.0	11	1	1
Wt/dng	1	1	0.0	0.0	1	1	1
Wp/oaa	475	17	0.0	0.0	65	1	1
Wp/pey	261	6	0.0	0.0	60	14	1
Wp/bla	370	13	0.0	0.0	72	1	1
Wt/sgh	2	1	24.0	-394.0	1	2	1
Wp/rop	36	8	0.0	0.0	16	1	1
Wp/ccp	145	22	2289.0	-173.0	33	2	1
Wy/azb	1621	24	0.0	0.0	733	6	1
Wy/hy	627	56	50.0	0.0	160	3	1
Wp/enm	876	58	0.0	0.0	2	2	1
