Project	Language Code	Total edits	Total editors	Total pages	Bytes removed (last 30 days)	Bytes added (last 30 days)	Average monthly edits	Average monthly editors
Wikipedia	kyh	37	6	19	0.0	0.0	1	1
Wikiquote	my	337	12	114	0.0	0.0	2	1
Wikipedia	lut	62	4	17	0.0	0.0	1	1
Wikinews	myv	34	5	13	0.0	0.0	4	1
Wikipedia	moe	224	13	46	0.0	0.0	1	1
Wikinews	tl	470	29	94	0.0	0.0	1	1
Wiktionary	ban	2720	52	1003	0.0	1090.0	10	1
Wikipedia	niq	387	9	127	0.0	0.0	3	1
Wikipedia	ale	419	19	75	0.0	0.0	1	1
Wikipedia	oma	65	7	17	0.0	0.0	1	1
Wikipedia	brx	1705	42	613	0.0	0.0	1	1
Wikipedia	cic	57	9	17	0.0	0.0	1	1
Wikipedia	srh	34	6	13	0.0	0.0	7	1
Wikipedia	czh	17	7	9	-6620.0	250.0	2	1
Wikipedia	tkl	395	35	126	0.0	0.0	1	1
Wikipedia	fit	10866	85	1840	0.0	0.0	2	1
Wikipedia	trw	43	8	14	0.0	21.0	1	1
Wikipedia	gwi	97	6	21	0.0	0.0	1	1
Wikibooks	bal	20	8	5	0.0	0.0	2	1
Wikipedia	was	74	14	17	0.0	0.0	1	1
Wikipedia	yuc	16	7	5	0.0	0.0	1	1
Wikiquote	ba	862	22	38	0.0	0.0	3	1
Wikinews	bgn	12	5	5	0.0	0.0	2	1
Wikiquote	mni	48	8	10	0.0	0.0	5	1
Wikipedia	lue	1	1	1	0.0	90.0	1	1
Wikinews	lv	10	3	6	0.0	0.0	3	1
Wikiquote	sn	132	3	50	-36.0	8610.0	14	1
Wiktionary	av	72	15	24	0.0	0.0	1	1
Wikipedia	akb	43	16	7	0.0	0.0	1	1
Wiktionary	mh	1573	7	672	0.0	312.0	13	1
Wikipedia	pse	121	36	53	0.0	45.0	1	1
Wikivoyage	be	399	30	95	0.0	0.0	2	1
Wikipedia	snd	12	5	1	0.0	0.0	1	1
Wikipedia	crx	1	1	1	0.0	0.0	1	1
Wikivoyage	ki	8	3	3	0.0	0.0	6	1
Wikipedia	esu	1486	34	313	0.0	0.0	1	1
Wikivoyage	ne	215	18	42	0.0	569.0	2	1
Wikibooks	mai	7	3	1	0.0	0.0	4	1
Wikipedia	yrk	850	67	138	0.0	26.0	1	1
Wikipedia	kfb	6	3	2	0.0	0.0	3	1
Wikiquote	ast	257	26	42	0.0	0.0	5	1
Wikipedia	kru	16	3	6	0.0	21.0	1	1
Wikinews	azb	323	16	104	0.0	47.0	4	1
Wikiquote	knc	17	4	1	0.0	0.0	2	1
Wikipedia	lrc	227	21	89	0.0	0.0	1	1
Wikinews	kaa	275	7	113	0.0	9.0	2	1
Wikiquote	sd	30	9	9	0.0	0.0	2	1
Wiktionary	aqc	1	1	1	0.0	0.0	1	1
Wikipedia	agx	53	26	11	0.0	0.0	1	1
Wiktionary	dng	1	1	1	0.0	0.0	1	1
Wikipedia	oaa	475	17	65	0.0	0.0	1	1
Wikipedia	pey	261	6	60	0.0	0.0	14	1
Wikipedia	bla	370	13	72	0.0	0.0	1	1
Wiktionary	sgh	2	1	1	-394.0	24.0	2	1
Wikipedia	rop	36	8	16	0.0	0.0	1	1
Wikipedia	ccp	145	22	33	-173.0	2289.0	2	1
Wikivoyage	azb	1621	24	733	0.0	0.0	6	1
Wikivoyage	hy	627	56	160	0.0	50.0	3	1
Wikipedia	enm	876	58	2	0.0	0.0	2	1
Wikivoyage	mni	34	10	11	0.0	0.0	1	1
Wikivoyage	wuu	466	21	78	0.0	0.0	1	1
Wikipedia	uln	45	8	10	0.0	0.0	2	1
Wikipedia	hsn	838	61	143	0.0	43.0	1	1
Wikipedia	jra	1	1	1	-19.0	0.0	1	1
Wikibooks	sd	67	13	15	0.0	0.0	2	1
Wikinews	anp	144	10	70	0.0	0.0	3	1
Wikiquote	kaa	4	3	3	0.0	0.0	1	1
Wikipedia	lki	7079	67	3259	0.0	0.0	4	1
Wikinews	hu	7478	160	1150	0.0	0.0	1	1
Wikiquote	ps	368	30	147	0.0	0.0	4	1
Wikipedia	mis	11	3	1	0.0	0.0	1	1
Wiktionary	ace	45	15	10	0.0	0.0	1	1
Wikipedia	mus	157	33	29	0.0	1496.0	4	1
Wiktionary	cho	2	1	2	0.0	0.0	2	1
Wikipedia	aqc	4	2	3	0.0	1494.0	1	1
Wiktionary	kri	24	2	13	0.0	0.0	8	1
Wikipedia	paw	63	7	16	0.0	0.0	1	1
Wikipedia	bhb	7	4	3	0.0	21.0	1	1
Wiktionary	rm	24	6	16	0.0	0.0	2	1
Wikipedia	rkt	1721	11	529	0.0	0.0	59	1
Wikipedia	btz	146	23	26	0.0	0.0	1	1
Wikipedia	cmn	65	27	3	0.0	0.0	1	1
Wikipedia	surzh	99	18	1	0.0	0.0	1	1
Wikipedia	gcf	145	23	31	0.0	0.0	3	1
Wikivoyage	tt	310	18	106	0.0	0.0	4	1
Wikipedia	ho	134	29	54	0.0	0.0	1	1
Wikibooks	ga	11	6	3	-520.0	252.0	1	1
Wikipedia	xmm	457	26	126	0.0	0.0	2	1
Wikiquote	ain	11	4	3	0.0	0.0	3	1
Wikinews	af	301	17	134	0.0	0.0	1	1
Wikinews	hi	1092	53	270	0.0	0.0	2	1
Wikipedia	mgp	70	9	9	0.0	21.0	1	1
Wikinews	om	15	3	3	0.0	0.0	11	1
Wikiquote	wuu	33	10	10	0.0	0.0	1	1
Wikipedia	mqm	1	1	1	0.0	0.0	1	1
Wiktionary	cdo	1082	11	417	0.0	0.0	141	1
Wikipedia	nod	3490	56	615	-78.0	5616.0	5	1
Wiktionary	kge	88	5	27	0.0	0.0	14	1
Wikipedia	otq	12	6	7	0.0	0.0	2	1
Wiktionary	pwn	261	14	97	0.0	0.0	1	1
Wikipedia	rej	731	44	155	0.0	0.0	1	1
Wikipedia	sgh	289	31	95	0.0	343.0	8	1
Wikipedia	ckt	2804	75	577	0.0	0.0	2	1
Wikipedia	stl	56	6	29	0.0	0.0	1	1
Wikipedia	dng	517	54	141	-425.0	248.0	10	1
Wikipedia	tmr	891	26	153	0.0	0.0	10	1
Wikipedia	frs	1153	13	195	0.0	0.0	2	1
Wikipedia	tuq	39	4	8	0.0	0.0	3	1
Wikipedia	har	1	1	1	0.0	0.0	1	1
Wikibooks	bhi	6	4	3	0.0	0.0	1	1
Wikipedia	jat	412	7	125	0.0	0.0	2	1
Wikibooks	om	33	6	8	0.0	0.0	5	1
Wikipedia	zun	19	11	7	0.0	0.0	1	1
