Project	Language Code	Total edits	Total editors	Total pages	Bytes removed (last 30 days)	Bytes added (last 30 days)	Average monthly edits	Average monthly editors
Wikipedia	luo	122	16	46	-94.0	94.0	2	2
Wikipedia	ojs	37	5	23	0.0	0.0	4	2
Wikipedia	sas	113	15	33	0.0	0.0	3	2
Wikipedia	snk	2	2	2	0.0	0.0	2	2
Wikipedia	csn	12	2	5	0.0	0.0	12	2
Wikivoyage	pa	83	9	38	-2135.0	112060.0	24	2
Wikipedia	yrl	721	41	155	-31.0	411.0	23	2
Wikipedia	ars	7	2	5	0.0	0.0	7	2
Wikipedia	blc	915	14	171	0.0	0.0	144	2
Wikipedia	goh	1297	35	351	0.0	0.0	256	2
Wikivoyage	wym	12	2	3	0.0	0.0	12	2
Wikipedia	kai	731	14	203	0.0	0.0	2	2
Wikibooks	skr	714	29	140	0.0	147.0	4	2
Wiktionary	chy	86	2	60	0.0	611.0	43	2
Wikipedia	arn	4739	135	625	-174.0	4474.0	8	2
Wiktionary	lbe	2	2	2	0.0	0.0	2	2
Wikipedia	suz	2	2	2	0.0	60.0	2	2
Wikipedia	hoc	423	36	114	-15694.0	49550.0	13	2
Wikibooks	gom	6	2	4	0.0	0.0	6	2
Wikiquote	pa	224	20	52	0.0	0.0	3	2
Wikipedia	mh	589	64	124	0.0	0.0	2	2
Wikipedia	mrh	1077	22	366	0.0	0.0	57	2
Wiktionary	ce	30	6	9	-126.0	2399.0	10	2
Wikipedia	nog	9674	66	1126	0.0	0.0	2	2
Wikipedia	bgc	747	17	596	0.0	2373.0	4	2
Wikipedia	fvr	172	8	59	0.0	0.0	5	2
Wikivoyage	ta	817	33	288	0.0	0.0	2	2
Wikibooks	cdo	228	8	78	0.0	0.0	23	2
Wikiquote	ne	3302	29	516	-49.0	15825.0	4	2
Wikiquote	tn	122	10	46	0.0	86.0	4	2
Wiktionary	wym	1016	8	544	-44236.0	1131.0	383	2
Wikipedia	ttt	322	24	108	0.0	1144.0	15	2
Wikiquote	chy	17	8	3	0.0	0.0	4	2
Wikinews	ms	2950	57	753	-8775.0	620035.0	179	2
Wiktionary	ba	4987	47	1537	-8.0	0.0	2	2
Wikipedia	oka	265	13	77	0.0	0.0	2	2
Wikipedia	brh	4582	68	1234	0.0	0.0	3	2
Wikipedia	cia	13	2	8	0.0	0.0	13	2
