project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikinews	ppl	2011	33	274	334	6	0	-3	Wn/ppl
Wiktionary	sc	1997	29	344	7	2	0	0	Wt/sc
Wikipedia	nch	1993	44	256	326	8	0	0	Wp/nch
Wikivoyage	ca	1961	93	92	35	5	44	0	Wy/ca
Wikibooks	shn	1958	14	1368	69	4	121451	-1638	Wb/shn
Wikinews	th	1936	141	453	72	14	0	-6	Wn/th
Wikinews	lt	1900	55	186	87	10	0	0	Wn/lt
Wikiquote	or	1888	63	398	70	5	33	0	Wq/or
Wikipedia	hrx	1875	35	343	207	6	30	0	Wp/hrx
Wikipedia	pdt	1872	169	378	123	13	0	-3	Wp/pdt
Wiktionary	mwl	1871	29	712	592	6	0	-21	Wt/mwl
Wikipedia	brx	1866	66	693	127	6	2122	0	Wp/brx
Wiktionary	ksh	1858	11	420	1	1	0	-9	Wt/ksh
Wikibooks	jv	1848	250	398	217	25	0	0	Wb/jv
Wikivoyage	ml	1846	73	246	91	9	43	-6	Wy/ml
Wikinews	bn	1801	61	565	243	11	0	0	Wn/bn
Wikipedia	krj	1801	93	371	294	14	0	0	Wp/krj
Wiktionary	gag	1789	30	1359	46	3	10	0	Wt/gag
Wiktionary	ik	1754	70	188	110	15	0	0	Wt/ik
Wikipedia	sxr	1741	50	465	150	6	0	0	Wp/sxr
Wikipedia	ase	1741	44	497	321	9	0	0	Wp/ase
Wikipedia	mic	1700	39	526	248	9	0	-39	Wp/mic
Wikivoyage	azb	1697	22	784	8	3	0	-3	Wy/azb
Wikiquote	tt	1673	62	361	64	8	5857	-17	Wq/tt
Wikinews	ka	1666	40	586	128	7	0	-3	Wn/ka
Wiktionary	za	1663	71	224	77	11	0	0	Wt/za
Wikipedia	tvl	1607	80	250	48	8	0	0	Wp/tvl
Wikipedia	syl	1594	41	521	43	5	0	-12	Wp/syl
Wikipedia	mui	1579	84	262	134	14	1521	0	Wp/mui
Wikipedia	ppl	1564	82	209	100	14	214	-3	Wp/ppl
Wikipedia	fon	1557	52	348	122	10	23	-290	Wp/fon
Wikipedia	nhn	1523	29	427	371	7	0	0	Wp/nhn
Wiktionary	mhr	1512	18	720	4	2	7	0	Wt/mhr
Wikipedia	bbj	1507	93	392	149	6	0	0	Wp/bbj
Wikipedia	esu	1497	54	416	107	5	0	0	Wp/esu
Wiktionary	lag	1485	16	1145	94	3	20	0	Wt/lag
Wiktionary	mh	1482	11	608	159	3	0	-24	Wt/mh
Wikipedia	vot	1455	102	296	245	19	471	0	Wp/vot
Wikipedia	pmf	1453	28	748	122	5	0	-6	Wp/pmf
Wikibooks	nia	1443	17	414	344	8	176385	-6588	Wb/nia
Wikinews	id	1426	97	387	89	13	12481	-24	Wn/id
Wikivoyage	sk	1409	46	283	268	8	0	-3	Wy/sk
Wikipedia	kip	1399	39	171	20	5	20	-6	Wp/kip
Wiktionary	lij	1373	20	570	58	2	0	0	Wt/lij
Wikipedia	cak	1367	123	307	91	6	2182	0	Wp/cak
Wiktionary	jam	1356	21	132	123	4	0	0	Wt/jam
Wikipedia	ng	1311	180	91	123	27	0	-24	Wp/ng
Wiktionary	szl	1304	24	367	266	5	0	0	Wt/szl
Wikipedia	sjd	1298	74	304	235	15	0	0	Wp/sjd
Wikipedia	slr	1285	117	422	93	17	39	0	Wp/slr
Wiktionary	haw	1279	13	541	233	2	0	0	Wt/haw
Wikipedia	vmw	1269	93	410	87	13	196293	-1276	Wp/vmw
Wikipedia	lkt	1268	97	334	166	9	0	-96	Wp/lkt
Wikiquote	yue	1255	45	448	104	8	28	-471	Wq/yue
Wikipedia	sms	1204	22	308	71	6	229	-75	Wp/sms
