project	language code	Total number of edits	Total number of unique editors	Total number of pages	Average number of edits per month (last 3 months)	Average number of editors per month (last 3 months)	Total number of bytes added (last 30 days)	Total number of bytes removed (last 30 days)	prefix
Wikibooks	arz	36	6	5	1	1	0	0	Wb/arz
Wikinews	ceb	36	3	8	4	2	0	0	Wn/ceb
Wikipedia	gui	36	11	6	9	3	0	0	Wp/gui
Wikiquote	mzn	35	13	9	3	2	0	0	Wq/mzn
Wiktionary	udm	35	9	9	11	1	0	0	Wt/udm
Wiktionary	pal	35	5	13	8	2	0	0	Wt/pal
Wikipedia	klb	35	14	7	3	1	0	0	Wp/klb
Wikiquote	sd	35	12	9	5	3	0	0	Wq/sd
Wikipedia	akk	35	7	7	2	2	0	0	Wp/akk
Wikipedia	aer	35	8	7	1	1	0	0	Wp/aer
Wikipedia	pcc	34	15	10	8	4	279	0	Wp/pcc
Wikipedia	tar	34	16	9	3	1	0	0	Wp/tar
Wikipedia	bpe	34	16	7	7	3	0	0	Wp/bpe
Wikipedia	jmx	34	10	10	3	2	0	0	Wp/jmx
Wikipedia	cts	34	15	5	4	2	0	0	Wp/cts
Wikipedia	thl	34	11	11	1	1	0	0	Wp/thl
Wiktionary	ain	34	3	6	17	2	0	0	Wt/ain
Wikipedia	ctg	33	9	11	1	1	0	0	Wp/ctg
Wikipedia	xdy	33	13	4	3	2	0	0	Wp/xdy
Wikipedia	tzo	33	12	11	4	2	0	0	Wp/tzo
Wikipedia	kli	33	9	4	2	2	0	0	Wp/kli
Wikipedia	sat	32	13	2	3	2	0	0	Wp/sat
Wikipedia	rhg	32	10	14	2	1	0	0	Wp/rhg
Wiktionary	pcm	32	2	25	1	1	0	0	Wt/pcm
Wikipedia	mau	32	6	10	4	1	0	0	Wp/mau
Wikipedia	sjt	31	14	6	5	3	17	0	Wp/sjt
Wikibooks	gu	31	9	10	1	1	0	0	Wb/gu
Wikipedia	ayl	31	16	7	3	2	0	0	Wp/ayl
Wiktionary	ckt	31	13	7	3	2	0	0	Wt/ckt
Wikivoyage	bcl	31	4	15	10	1	0	0	Wy/bcl
Wikipedia	meo	30	8	8	8	1	0	0	Wp/meo
Wikipedia	nij	30	12	9	7	3	0	0	Wp/nij
Wikinews	te	30	4	14	1	1	0	0	Wn/te
Wikipedia	yah	30	7	19	12	1	17	0	Wp/yah
Wikipedia	ltg	30	12	2	9	4	0	0	Wp/ltg
Wikipedia	zza	30	12	1	2	2	0	0	Wp/zza
Wikipedia	luo	30	10	11	4	1	0	0	Wp/luo
Wikivoyage	bgn	30	6	18	4	2	0	0	Wy/bgn
Wikipedia	ota	29	13	1	5	4	0	-137	Wp/ota
Wikipedia	lbx	29	11	6	7	3	0	0	Wp/lbx
Wiktionary	rmf	29	5	13	4	1	0	0	Wt/rmf
Wikipedia	knx	29	13	5	6	3	0	0	Wp/knx
Wikivoyage	pa	29	6	9	1	1	0	0	Wy/pa
Wikipedia	gcr	29	12	3	2	2	0	0	Wp/gcr
Wikipedia	iar	29	9	6	1	1	0	0	Wp/iar
Wikipedia	scm	29	11	1	2	2	0	0	Wp/scm
Wikipedia	xyz	29	14	5	4	4	0	0	Wp/xyz
Wiktionary	bal	29	9	10	2	2	0	0	Wt/bal
Wiktionary	frc	29	6	12	16	1	0	0	Wt/frc
Wikivoyage	fkv	29	3	6	1	1	0	0	Wy/fkv
Wiktionary	alq	29	4	3	6	1	0	0	Wt/alq
Wikipedia	apj	28	7	9	4	1	0	0	Wp/apj
Wikipedia	bgx	28	12	6	10	2	0	0	Wp/bgx
Wikipedia	crs	28	6	6	6	2	0	0	Wp/crs
Wikipedia	prs	28	13	1	4	3	0	0	Wp/prs
Wikipedia	otq	28	6	17	6	2	439	-433	Wp/otq
Wikipedia	mfy	28	15	7	3	2	0	0	Wp/mfy
Wikipedia	ber	28	19	1	2	1	0	0	Wp/ber
Wikinews	kn	28	7	4	1	1	0	0	Wn/kn
Wikinews	ky	28	9	6	10	3	0	0	Wn/ky
Wikipedia	tup	28	6	2	4	3	0	0	Wp/tup
Wiktionary	jdt	28	4	7	16	2	0	0	Wt/jdt
Wikipedia	str	28	7	10	3	1	0	0	Wp/str
Wikibooks	pnb	27	12	9	5	2	0	0	Wb/pnb
Wikivoyage	si	27	8	10	1	1	0	0	Wy/si
Wikipedia	alr	27	15	6	5	4	0	0	Wp/alr
Wikipedia	nmg	27	6	7	6	3	0	0	Wp/nmg
Wikipedia	cab	27	9	11	9	3	0	0	Wp/cab
Wiktionary	frp	27	8	10	20	5	0	0	Wt/frp
Wikipedia	ses	27	7	18	1	1	0	0	Wp/ses
Wikipedia	mnw	27	12	1	1	1	0	0	Wp/mnw
Wikipedia	odt	27	7	5	9	3	0	0	Wp/odt
Wikivoyage	gl	26	10	6	7	2	0	0	Wy/gl
Wikipedia	ksk	26	8	9	4	2	0	0	Wp/ksk
Wikipedia	tlh	26	11	2	5	4	0	0	Wp/tlh
Wikivoyage	es	26	10	2	1	1	0	0	Wy/es
Wikipedia	ace	26	9	2	2	1	0	0	Wp/ace
Wikipedia	neq	26	5	11	4	1	0	0	Wp/neq
Wikibooks	bm	26	12	6	2	1	0	0	Wb/bm
Wikipedia	tun	26	6	7	4	2	0	0	Wp/tun
Wikipedia	bld	26	2	16	25	1	0	0	Wp/bld
Wikipedia	fro	26	12	1	5	2	0	0	Wp/fro
Wikipedia	lis	26	4	10	5	2	0	0	Wp/lis
Wikipedia	trv	25	8	1	3	2	0	0	Wp/trv
Wikivoyage	zh	25	13	4	1	1	0	0	Wy/zh
Wikivoyage	eo	25	17	1	4	3	0	0	Wy/eo
Wikinews	mk	25	8	6	5	2	0	0	Wn/mk
Wikipedia	ctd	25	3	10	2	1	0	0	Wp/ctd
Wikipedia	azb	25	16	2	4	3	0	0	Wp/azb
Wikipedia	bss	25	8	6	9	2	0	0	Wp/bss
Wikipedia	shn	25	15	1	2	1	0	0	Wp/shn
Wikipedia	lua	25	12	7	7	3	0	0	Wp/lua
Wikipedia	yue	25	4	7	18	1	0	0	Wp/yue
Wikivoyage	ja	25	20	1	1	1	0	0	Wy/ja
Wikivoyage	ac	25	2	6	25	2	0	0	Wy/ac
Wikipedia	nqo	25	12	1	1	1	0	0	Wp/nqo
Wikipedia	agq	24	8	4	6	2	0	0	Wp/agq
Wikibooks	dtp	24	8	7	9	2	0	0	Wb/dtp
Wikipedia	abl	24	17	5	3	3	92	0	Wp/abl
Wikipedia	tse	24	6	5	2	2	0	0	Wp/tse
Wikivoyage	tzm	24	9	8	7	2	0	0	Wy/tzm
Wikipedia	kok	24	9	1	8	3	0	0	Wp/kok
Wikipedia	bsk	24	12	11	5	3	0	0	Wp/bsk
Wikipedia	ruo	24	4	10	3	3	0	0	Wp/ruo
Wiktionary	diq	24	15	1	3	3	0	0	Wt/diq
Wikipedia	chp	24	7	7	3	2	0	0	Wp/chp
Wikipedia	tiw	24	4	8	1	1	0	0	Wp/tiw
Wikipedia	elm	24	5	9	1	1	0	0	Wp/elm
Wikinews	tyv	24	10	5	10	3	0	0	Wn/tyv
Wikipedia	smw	23	13	7	5	3	0	0	Wp/smw
Wikipedia	tay	23	6	1	3	2	0	0	Wp/tay
Wiktionary	rm	23	6	16	2	2	0	0	Wt/rm
Wikipedia	alt	23	14	1	2	2	0	0	Wp/alt
Wikipedia	xug	23	12	7	2	1	0	0	Wp/xug
Wikinews	dtp	23	11	7	5	3	0	0	Wn/dtp
Wikipedia	x	23	7	1	4	1	0	0	Wp/x
Wikipedia	ams	23	11	6	1	1	0	0	Wp/ams
Wikipedia	vay	23	1	14	23	1	0	0	Wp/vay
Wikinews	am	23	9	4	5	3	0	0	Wn/am
Wikipedia	kyh	23	3	20	23	3	0	0	Wp/kyh
Wikinews	anp	23	8	8	1	1	0	0	Wn/anp
Wiktionary	sva	23	2	18	22	1	0	0	Wt/sva
Wikipedia	bum	22	12	7	2	1	0	0	Wp/bum
Wiktionary	hoc	22	5	14	4	1	0	0	Wt/hoc
Wiktionary	hsb	22	9	1	2	2	0	0	Wt/hsb
Wikipedia	ary	22	15	2	1	1	0	0	Wp/ary
Wikipedia	xzh	22	4	8	2	2	0	0	Wp/xzh
Wikivoyage	ps	22	8	1	1	1	0	0	Wy/ps
Wikibooks	ug	22	10	10	3	2	0	0	Wb/ug
Wikibooks	sgs	22	5	6	8	1	0	0	Wb/sgs
Wikinews	tt	22	6	6	3	2	0	0	Wn/tt
Wikipedia	ukl	22	12	2	7	5	0	0	Wp/ukl
Wikipedia	dlm	22	11	2	6	3	0	0	Wp/dlm
Wikipedia	qvm	22	7	4	1	1	0	0	Wp/qvm
Wiktionary	tzm	21	8	6	9	2	0	0	Wt/tzm
Wiktionary	szy	21	4	8	8	1	0	0	Wt/szy
Wikibooks	syc	21	2	5	5	1	0	0	Wb/syc
Wikipedia	gvr	21	8	7	9	3	0	0	Wp/gvr
Wikipedia	tyv	21	9	1	5	3	0	0	Wp/tyv
Wikipedia	zom	21	11	8	4	3	0	0	Wp/zom
Wikipedia	cmg	21	4	14	21	4	0	0	Wp/cmg
Wikipedia	ubl	21	3	9	1	1	0	0	Wp/ubl
Wikivoyage	vec	21	4	8	1	1	0	0	Wy/vec
Wikipedia	egy	21	8	2	17	5	0	0	Wp/egy
Wikibooks	bal	21	7	5	3	1	0	0	Wb/bal
Wikipedia	kio	20	6	6	3	2	0	0	Wp/kio
Wikipedia	nrm	20	2	1	1	1	0	0	Wp/nrm
Wiktionary	uun	20	1	17	2	1	0	0	Wt/uun
Wikipedia	mqg	20	7	5	1	1	0	0	Wp/mqg
Wikipedia	gor	20	10	1	4	3	0	0	Wp/gor
Wikivoyage	mni	20	5	12	4	1	0	0	Wy/mni
Wikipedia	bik	20	1	1	1	1	0	0	Wp/bik
Wikinews	mn	20	3	12	2	1	0	0	Wn/mn
Wikipedia	mni	20	7	2	4	3	0	0	Wp/mni
Wikipedia	par	20	11	4	1	1	0	0	Wp/par
Wikipedia	acw	20	5	6	2	2	0	0	Wp/acw
Wikipedia	sto	20	5	7	2	1	0	0	Wp/sto
Wikipedia	yur	20	5	7	9	2	0	0	Wp/yur
Wikipedia	meu	19	6	11	3	2	0	0	Wp/meu
Wikipedia	bhw	19	7	7	1	1	0	0	Wp/bhw
Wikinews	kmr	19	9	15	10	5	0	0	Wn/kmr
Wikipedia	tdd	19	10	7	4	2	0	0	Wp/tdd
Wikipedia	xvi	19	7	8	1	1	0	0	Wp/xvi
Wikipedia	srh	19	5	9	5	2	319	0	Wp/srh
Wikibooks	ang	19	9	2	1	1	0	0	Wb/ang
Wikinews	ab	19	3	10	4	1	0	0	Wn/ab
Wikipedia	lez	19	13	2	2	2	0	0	Wp/lez
Wikipedia	zun	19	11	7	3	1	0	0	Wp/zun
Wikipedia	smn	19	10	2	2	2	0	0	Wp/smn
Wiktionary	dua	19	7	4	2	2	0	0	Wt/dua
Wiktionary	mnw	18	7	1	3	2	0	0	Wt/mnw
Wikipedia	byq	18	3	4	8	2	0	0	Wp/byq
Wikipedia	mad	18	9	1	1	1	0	0	Wp/mad
Wikivoyage	kn	18	4	6	12	1	0	0	Wy/kn
Wiktionary	tdx	18	3	3	3	1	0	0	Wt/tdx
Wikipedia	wal	18	7	4	5	2	0	0	Wp/wal
Wikipedia	pst	18	9	1	4	3	0	0	Wp/pst
Wikipedia	ldn	18	4	3	3	2	12344	-70	Wp/ldn
Wikipedia	nup	18	4	6	2	1	0	0	Wp/nup
Wikipedia	neg	18	5	6	7	2	0	0	Wp/neg
Wikipedia	dun	18	9	6	2	2	0	0	Wp/dun
Wikipedia	acm	18	7	4	2	2	0	0	Wp/acm
Wikiquote	cr	18	11	1	4	2	0	0	Wq/cr
Wikiquote	jbo	18	2	5	11	1	0	0	Wq/jbo
Wikipedia	wen	18	4	3	8	2	0	0	Wp/wen
Wikipedia	jam	18	13	1	4	2	0	0	Wp/jam
Wikipedia	kge	18	13	5	3	3	0	0	Wp/kge
Wikipedia	gju	18	8	7	5	2	0	0	Wp/gju
Wikipedia	oac	18	5	8	8	2	0	0	Wp/oac
Wikipedia	car	18	7	6	4	1	0	0	Wp/car
Wikipedia	kln	18	7	2	1	1	0	0	Wp/kln
Wiktionary	wym	18	4	4	1	1	0	0	Wt/wym
Wiktionary	ase	17	5	4	3	3	0	0	Wt/ase
Wikipedia	csm	17	8	6	2	1	0	0	Wp/csm
Wikibooks	got	17	10	7	3	2	0	0	Wb/got
Wiktionary	lzh	17	6	1	3	1	0	0	Wt/lzh
Wikivoyage	no	17	8	1	7	3	0	0	Wy/no
Wikivoyage	haw	17	2	10	1	1	0	0	Wy/haw
Wikipedia	skr	17	12	1	2	2	0	0	Wp/skr
Wikipedia	lpo	17	3	9	16	2	0	0	Wp/lpo
Wikipedia	lr	17	2	3	2	1	0	0	Wp/lr
Wikipedia	dty	17	8	1	3	2	0	0	Wp/dty
Wikipedia	kvv	17	3	11	14	2	0	0	Wp/kvv
Wikipedia	ctu	17	10	5	4	3	0	0	Wp/ctu
Wikipedia	cuk	17	6	6	2	1	0	0	Wp/cuk
Wikinews	pa	17	9	5	2	1	0	0	Wn/pa
Wikipedia	trs	17	7	9	7	2	0	0	Wp/trs
Wikipedia	dag	17	8	1	1	1	0	0	Wp/dag
Wiktionary	gbm	16	3	6	2	1	0	0	Wt/gbm
Wikipedia	qvs	16	7	5	3	1	0	0	Wp/qvs
Wikipedia	rob	16	11	6	5	3	0	0	Wp/rob
Wikipedia	sgj	16	1	6	16	1	0	0	Wp/sgj
Wikipedia	hmd	16	4	6	14	2	0	0	Wp/hmd
Wikibooks	lki	16	5	4	2	1	0	0	Wb/lki
Wikipedia	gom	16	7	1	1	1	0	0	Wp/gom
Wikipedia	nlv	16	3	8	14	2	0	0	Wp/nlv
Wikivoyage	lb	16	5	5	7	2	0	0	Wy/lb
Wikivoyage	li	16	6	4	2	2	0	0	Wy/li
Wikipedia	yuc	16	6	5	1	1	0	0	Wp/yuc
Wikipedia	gsw	16	4	1	3	2	0	0	Wp/gsw
Wikibooks	war	16	4	7	15	3	0	0	Wb/war
Wikivoyage	lzh	16	9	5	2	2	0	0	Wy/lzh
Wikiquote	bgn	16	6	9	4	2	0	0	Wq/bgn
Wikipedia	gul	15	4	6	3	2	0	0	Wp/gul
Wikivoyage	glk	15	5	7	9	3	0	0	Wy/glk
Wikipedia	snd	15	5	1	9	3	0	0	Wp/snd
Wikipedia	awa	15	13	2	1	1	0	0	Wp/awa
Wikinews	nds	15	5	1	4	1	0	0	Wn/nds
Wiktionary	mui	15	6	4	4	2	0	0	Wt/mui
Wikipedia	ckb	15	9	1	5	3	0	0	Wp/ckb
Wiktionary	bih	15	5	1	3	2	0	0	Wt/bih
Wikipedia	gwc	15	9	5	1	1	0	0	Wp/gwc
Wikipedia	srb	15	4	8	2	1	0	0	Wp/srb
Wikipedia	hmr	15	2	8	2	1	0	0	Wp/hmr
Wikivoyage	bal	15	7	3	1	1	0	0	Wy/bal
Wikipedia	amz	15	7	1	1	1	0	0	Wp/amz
Wikivoyage	fi	15	12	1	5	4	0	0	Wy/fi
Wikinews	mr	15	12	3	7	6	0	0	Wn/mr
Wiktionary	tts	15	3	9	1	1	0	0	Wt/tts
Wikipedia	ijc	15	3	5	2	1	0	0	Wp/ijc
Wiktionary	bcl	15	9	3	1	1	0	0	Wt/bcl
Wikibooks	ceb	15	4	4	9	2	0	0	Wb/ceb
Wikivoyage	fy	15	2	9	8	1	0	0	Wy/fy
Wikivoyage	ryu	15	6	6	6	2	0	0	Wy/ryu
Wikibooks	ba	15	9	2	1	1	0	0	Wb/ba
Wikipedia	crp	15	5	1	2	2	0	0	Wp/crp
Wikibooks	khw	15	8	10	5	2	0	0	Wb/khw
Wikivoyage	yi	14	3	4	2	1	0	0	Wy/yi
Wikipedia	fil	14	8	1	2	2	0	0	Wp/fil
Wikipedia	bph	14	3	5	14	3	0	0	Wp/bph
Wikipedia	oj	14	6	2	5	3	0	0	Wp/oj
Wikipedia	sva	14	6	6	2	1	0	0	Wp/sva
Wikipedia	wxa	14	9	6	1	1	0	0	Wp/wxa
Wikinews	kl	14	10	3	5	2	0	0	Wn/kl
Wikipedia	otk	14	7	1	2	2	0	0	Wp/otk
Wikipedia	enx	14	7	5	2	1	0	0	Wp/enx
Wikibooks	bgn	14	7	4	1	1	0	0	Wb/bgn
Wikipedia	mkw	14	6	6	6	2	0	0	Wp/mkw
Wikipedia	olo	14	8	1	4	2	0	0	Wp/olo
Wikipedia	var	14	8	4	4	2	0	0	Wp/var
Wikipedia	ban	14	6	1	1	1	0	0	Wp/ban
Wikibooks	ik	14	5	4	1	1	0	0	Wb/ik
Wikipedia	xhe	14	7	10	14	7	0	0	Wp/xhe
Wikipedia	lfn	14	8	1	1	1	0	0	Wp/lfn
Wikipedia	kbd	14	11	1	3	2	0	0	Wp/kbd
Wiktionary	cop	14	4	7	1	1	0	0	Wt/cop
Wiktionary	mnp	14	3	5	10	2	0	0	Wt/mnp
Wikipedia	kmc	14	3	7	5	2	0	0	Wp/kmc
Wikipedia	lat	14	7	1	1	1	0	0	Wp/lat
Wikivoyage	ady	14	6	4	2	2	0	0	Wy/ady
Wikiquote	ga	13	8	3	4	2	0	0	Wq/ga
Wikinews	lzh	13	3	2	1	1	0	0	Wn/lzh
Wiktionary	pnb	13	7	1	2	1	0	0	Wt/pnb
Wikibooks	zh	13	8	3	2	2	0	0	Wb/zh
Wikiquote	zh	13	6	3	2	1	0	0	Wq/zh
Wikivoyage	as	13	6	4	1	1	0	0	Wy/as
Wikipedia	mai	13	9	2	1	1	0	0	Wp/mai
Wiktionary	mul	13	7	1	4	2	0	0	Wt/mul
Wiktionary	skr	13	8	1	1	1	0	0	Wt/skr
Wikipedia	chg	13	5	4	3	2	0	0	Wp/chg
Wikivoyage	so	13	4	7	1	1	0	0	Wy/so
Wikinews	ku	13	9	4	5	3	0	0	Wn/ku
Wiktionary	cic	13	3	3	7	2	0	0	Wt/cic
Wikipedia	vep	13	10	1	2	2	0	0	Wp/vep
Wikipedia	acr	13	8	5	2	2	0	0	Wp/acr
Wikipedia	wep	13	3	6	12	3	0	0	Wp/wep
Wikiquote	bcc	13	5	4	1	1	0	0	Wq/bcc
Wikinews	is	13	7	4	1	1	0	0	Wn/is
Wiktionary	be	13	5	2	1	1	0	0	Wt/be
Wikibooks	kjh	12	3	7	7	1	0	0	Wb/kjh
Wiktionary	gcf	12	2	4	11	1	0	0	Wt/gcf
Wikipedia	nb	12	2	1	2	1	0	0	Wp/nb
Wiktionary	crs	12	4	5	2	1	0	0	Wt/crs
Wikipedia	twm	12	2	6	10	2	0	0	Wp/twm
Wikivoyage	tr	12	6	1	1	1	0	0	Wy/tr
Wikipedia	bho	12	5	1	1	1	0	0	Wp/bho
Wikivoyage	zu	12	2	4	2	1	0	0	Wy/zu
Wikipedia	num	12	4	4	2	1	0	0	Wp/num
Wikinews	dv	12	7	4	1	1	0	0	Wn/dv
Wikinews	ko	12	6	1	1	1	0	0	Wn/ko
Wikiquote	sa	12	8	1	2	2	0	0	Wq/sa
Wikivoyage	fa	12	7	1	2	2	0	0	Wy/fa
Wikinews	bjn	12	3	8	1	1	0	0	Wn/bjn
Wikipedia	sdb	12	8	3	1	1	0	-9	Wp/sdb
Wiktionary	zh	12	8	2	3	2	0	0	Wt/zh
Wikipedia	cri	12	6	6	4	2	0	0	Wp/cri
Wiktionary	krc	12	2	10	11	1	0	0	Wt/krc
Wiktionary	mni	12	4	1	4	3	0	0	Wt/mni
Wikivoyage	ace	12	2	5	1	1	0	0	Wy/ace
Wikivoyage	ga	12	5	5	10	3	0	0	Wy/ga
Wikipedia	dml	12	4	6	1	1	0	0	Wp/dml
Wikipedia	mul	11	7	1	1	1	0	0	Wp/mul
Wikipedia	kne	11	3	3	5	1	0	0	Wp/kne
Wikipedia	ktz	11	5	3	1	1	0	0	Wp/ktz
Wikibooks	nap	11	4	5	4	1	0	0	Wb/nap
Wikiquote	sw	11	6	4	4	2	0	0	Wq/sw
Wiktionary	ce	11	6	4	4	1	0	0	Wt/ce
Wikipedia	ais	11	4	2	7	2	0	0	Wp/ais
Wikibooks	tly	11	3	3	1	1	0	0	Wb/tly
Wiktionary	lgg	11	4	3	2	1	0	0	Wt/lgg
Wikipedia	gyn	11	4	4	2	1	51	0	Wp/gyn
Wiktionary	rn	11	7	1	2	2	0	0	Wt/rn
Wikipedia	top	11	7	4	3	2	0	0	Wp/top
Wikinews	brh	11	3	7	2	2	0	0	Wn/brh
Wikipedia	diq	11	6	1	2	1	0	0	Wp/diq
Wikipedia	ett	11	6	1	4	2	0	0	Wp/ett
Wikipedia	mrv	11	9	4	4	3	0	0	Wp/mrv
Wiktionary	min	11	5	1	1	1	0	0	Wt/min
Wiktionary	zza	11	4	1	1	1	0	0	Wt/zza
Wikipedia	pny	11	7	1	4	2	0	0	Wp/pny
Wiktionary	cnh	11	6	3	3	2	0	0	Wt/cnh
Wikibooks	mul	11	6	1	1	1	0	0	Wb/mul
Wikivoyage	fo	11	2	5	10	1	0	0	Wy/fo
Wiktionary	lpl	11	6	1	4	2	0	0	Wt/lpl
Wikibooks	ckb	11	7	2	2	1	36	0	Wb/ckb
Wikipedia	nia	11	8	1	1	1	0	0	Wp/nia
Wikiquote	bih	10	4	1	1	1	0	0	Wq/bih
Wikipedia	son	10	6	2	3	2	0	0	Wp/son
Wikipedia	hyw	10	3	1	4	2	0	0	Wp/hyw
Wiktionary	shn	10	6	1	1	1	0	0	Wt/shn
Wikipedia	koi	10	8	1	1	1	0	0	Wp/koi
Wiktionary	yue	10	10	1	1	1	0	0	Wt/yue
Wikibooks	ha	10	7	3	4	3	0	0	Wb/ha
Wikipedia	ncl	10	3	6	7	2	0	0	Wp/ncl
Wikinews	xh	10	4	4	6	1	0	0	Wn/xh
Wikinews	el	10	5	1	4	2	0	0	Wn/el
Wikinews	yi	10	4	5	5	1	0	0	Wn/yi
Wikipedia	pal	10	6	1	3	2	0	0	Wp/pal
Wikipedia	clm	10	4	3	1	1	0	0	Wp/clm
Wikiquote	sah	10	6	1	3	2	0	0	Wq/sah
Wikipedia	bjn	10	7	1	1	1	0	0	Wp/bjn
Wiktionary	ny	10	5	3	2	2	0	0	Wt/ny
Wikipedia	phl	10	2	7	1	1	0	0	Wp/phl
Wikipedia	mhr	10	8	1	1	1	0	0	Wp/mhr
Wikipedia	krc	10	7	1	1	1	0	0	Wp/krc
Wiktionary	koi	10	5	5	1	1	0	0	Wt/koi
Wikipedia	btv	10	7	4	1	1	0	0	Wp/btv
Wikibooks	fo	10	7	4	2	1	0	0	Wb/fo
Wikipedia	mua	10	7	4	7	4	0	0	Wp/mua
Wikipedia	kbp	10	5	1	2	1	0	0	Wp/kbp
Wikipedia	lai	10	3	4	5	2	0	0	Wp/lai
Wikipedia	mo	10	5	1	2	2	0	0	Wp/mo
Wikivoyage	nb	10	4	1	3	2	0	0	Wy/nb
Wikipedia	jgo	10	5	4	4	2	0	0	Wp/jgo
Wiktionary	dwr	10	2	3	4	1	0	0	Wt/dwr
Wikipedia	umb	10	7	5	3	2	0	0	Wp/umb
Wikiquote	lad	9	5	2	3	1	0	0	Wq/lad
Wiktionary	als	9	5	1	3	2	0	0	Wt/als
Wikivoyage	mg	9	4	4	1	1	0	0	Wy/mg
Wikinews	gu	9	4	3	3	1	0	0	Wn/gu
Wikivoyage	am	9	4	4	2	1	0	0	Wy/am
Wikivoyage	bih	9	2	1	1	1	0	0	Wy/bih
Wikipedia	wra	9	3	7	3	1	0	0	Wp/wra
Wikipedia	xsr	9	2	4	2	1	0	0	Wp/xsr
Wikipedia	mur	9	6	1	1	1	0	0	Wp/mur
Wikipedia	gnb	9	1	7	3	1	0	0	Wp/gnb
Wiktionary	tay	9	4	4	1	1	0	0	Wt/tay
Wikinews	bgn	9	3	4	1	1	0	0	Wn/bgn
Wiktionary	hsn	9	5	5	1	1	0	0	Wt/hsn
Wikipedia	hmo	9	3	2	9	3	0	0	Wp/hmo
Wikiquote	brx	9	4	4	2	1	0	0	Wq/brx
Wikiquote	nds	9	6	1	3	3	0	0	Wq/nds
Wikinews	eo	9	6	1	2	1	0	0	Wn/eo
Wikipedia	fos	9	2	1	1	1	0	0	Wp/fos
Wikipedia	qya	9	4	1	1	1	0	0	Wp/qya
Wikipedia	nep	9	5	1	2	2	0	0	Wp/nep
Wikipedia	pan	9	5	1	2	2	0	0	Wp/pan
Wikipedia	kww	9	4	5	7	2	0	0	Wp/kww
Wikibooks	bih	9	3	1	1	1	0	0	Wb/bih
Wikibooks	mnw	9	4	3	4	2	0	0	Wb/mnw
Wikipedia	wbp	9	4	5	1	1	0	0	Wp/wbp
Wiktionary	bar	9	4	3	2	2	0	0	Wt/bar
Wikipedia	cac	9	4	5	1	1	0	0	Wp/cac
Wiktionary	pes	9	6	1	1	1	0	0	Wt/pes
Wikibooks	mrh	9	3	2	3	1	0	0	Wb/mrh
Wikiquote	se	9	4	3	2	1	0	0	Wq/se
Wikivoyage	vi	9	5	1	4	2	0	0	Wy/vi
Wikipedia	czh	9	3	6	1	1	0	0	Wp/czh
Wiktionary	ak	9	4	1	1	1	0	0	Wt/ak
Wikivoyage	jbo	9	2	4	8	1	0	0	Wy/jbo
Wikiquote	kr	9	4	1	1	1	0	0	Wq/kr
Wikibooks	ga	9	6	1	1	1	0	0	Wb/ga
Wikipedia	min	9	7	1	2	2	0	0	Wp/min
Wikipedia	gmh	8	3	4	6	2	0	0	Wp/gmh
Wiktionary	bgn	8	4	5	2	1	0	0	Wt/bgn
Wikibooks	nah	8	4	1	2	2	0	0	Wb/nah
Wikipedia	doi	8	4	2	3	2	0	0	Wp/doi
Wikipedia	emo	8	4	1	2	1	0	0	Wp/emo
Wikivoyage	dty	8	2	3	5	1	0	0	Wy/dty
Wikivoyage	bn	8	4	1	1	1	0	0	Wy/bn
Wikipedia	xsv	8	4	1	4	2	0	0	Wp/xsv
Wikivoyage	mk	8	3	4	3	1	0	0	Wy/mk
Wiktionary	mrh	8	3	2	2	1	0	0	Wt/mrh
Wiktionary	mad	8	4	3	3	2	0	0	Wt/mad
Wiktionary	avk	8	5	1	1	1	0	0	Wt/avk
Wikinews	qu	8	3	1	2	1	0	0	Wn/qu
Wikibooks	am	8	4	3	1	1	0	0	Wb/am
Wikipedia	tmh	8	4	1	2	1	0	0	Wp/tmh
Wiktionary	tgl	8	3	1	1	1	0	0	Wt/tgl
Wikipedia	ese	8	6	2	2	2	0	0	Wp/ese
Wikivoyage	hi	8	5	1	2	2	0	0	Wy/hi
Wikipedia	gwt	8	5	4	1	1	0	0	Wp/gwt
Wikipedia	ru	8	4	1	1	1	0	0	Wp/ru
Wikinews	nl	8	7	1	3	3	0	0	Wn/nl
Wikipedia	tmz	8	3	1	2	1	0	0	Wp/tmz
Wikipedia	bjm	8	3	3	3	1	0	0	Wp/bjm
Wikipedia	rue	8	6	1	1	1	0	0	Wp/rue
Wikipedia	chm	8	4	1	1	1	0	0	Wp/chm
Wiktionary	to	8	5	1	3	2	0	0	Wt/to
Wikipedia	arz	8	5	1	1	1	0	0	Wp/arz
Wikipedia	nnp	8	3	4	4	2	0	0	Wp/nnp
Wikinews	li	8	4	2	3	1	0	0	Wn/li
Wikinews	mul	8	6	1	3	2	0	0	Wn/mul
Wiktionary	or	8	7	1	1	1	0	0	Wt/or
Wikiquote	kw	8	5	1	1	1	0	0	Wq/kw
Wikipedia	atj	7	6	1	1	1	0	0	Wp/atj
Wiktionary	mns	7	4	3	2	1	0	0	Wt/mns
Wikipedia	hui	7	2	1	1	1	0	0	Wp/hui
Wikipedia	oe	7	1	3	7	1	0	0	Wp/oe
Wiktionary	nia	7	7	1	1	1	0	0	Wt/nia
Wikiquote	so	7	4	3	2	1	0	0	Wq/so
